2020-12-31,7 Names In Danger of Joining the Shamed Ranks of Delisted Stocks
2020-12-17,Why Uxin Stock Was Falling Today
2020-12-17,Uxin Reports Unaudited Second Quarter of Fiscal Year 2021 Financial Results
2020-12-10,"Uxin to Report Second Quarter Fiscal Year 2021 Financial Results on December 17, 2020"
2020-12-01,Should I Buy Uxin Limited (UXIN)?
2020-11-10,"Uxins Net Promoter Score (NPS) Increases to 30 during Quarter Ended September 30, 2020"
2020-10-22,Uxin Launches Proprietary Used Car Rating System
2020-10-21,"Former Chinese Tech Unicorn Could Now Sell For Just Over $1,000"
2020-10-06,Uxin Raises US$25 Million in Two Private Placements
2020-09-17,A Look At Uxin's (NASDAQ:UXIN) Share Price Returns
2020-09-08,Uxin Reports Unaudited First Quarter of Fiscal Year 2021 Financial Results
2020-09-01,Why Uxin Jumped 25% Today
2020-09-01,"Uxin to Report First Quarter Fiscal Year 2021 Financial Results on September 8, 2020"
2020-07-24,"Uxin Reports Unaudited Financial Results for the Transition Period from January 1 to March 31, 2020"
2020-07-17,"Uxin to Report Financial Results for the Quarter Ended March 31, 2020 on July 24, 2020"
2020-06-10,Do Hedge Funds Love Uxin Limited (UXIN)?
2020-05-12,Uxin Files Its Annual Report on Form 20-F
2020-04-27,Uxin: Q4 Earnings Insights
2020-04-27,Uxin Reports Unaudited Fourth Quarter and Full Year 2019 Financial Results
2020-04-23,Uxin Announces Entry into Supplemental Agreements with Golden Pacer and Closing of Relevant Transaction
2020-04-16,"Uxin to Report Fourth Quarter and Full Year 2019 Financial Results on April 27, 2020"
2020-03-24,Uxin Announces Transaction with 58.com
2020-03-02,Uxin Takes Active Measures to Adapt Business and Ensure Business Continuity in Response to Evolving Situation Associated with COVID-19
2020-02-12,Uxin Announces Appointment of Mr. Zhitian Zhang as Chief Operating Officer
2020-01-16,Uxin Announces Entry into Definitive Agreements with Boche
2019-12-22,Is Uxin Limited (UXIN) A Good Stock To Buy?
2019-12-02,Uxin Announces the Resignation of Chief Strategy Officer
2019-11-27,Uxin Reports Unaudited Third Quarter of 2019 Financial Results
2019-11-18,"Uxin to Report Third Quarter 2019 Financial Results on November 27, 2019"
2019-09-30,Uxin Announces Entry into Definitive Agreements with Golden Pacer
2019-09-23,Uxin Reports Unaudited Second Quarter of 2019 Financial Results
2019-09-16,Uxin Announces the Resignation of Chief Operating Officer
2019-08-29,"Uxin to Report Second Quarter 2019 Financial Results on September 23, 2019"
2019-08-15,"WeWork joins underperforming Uber, Lyft, Nio as biggest pre-IPO cash guzzlers"
2019-07-12,Why Uxin Stock Jumped Friday
2019-07-12,Uxin Announces Private Placement of US$50 Million of Convertible Notes
2019-07-12,Uxin Announces Transaction with Golden Pacer
2019-06-10,Uxin Ltd. to Host Earnings Call
2019-06-10,Uxin Reports Unaudited First Quarter of 2019 Financial Results
2019-06-04,Uxin Announces Changes to Board of Directors
2019-05-31,"Uxin to Report First Quarter 2019 Financial Results on June 10, 2019"
2019-05-30,Why Shares of Uxin Crashed on Thursday
2019-05-29,China's used-car marketplace Uxin to raise $230M via convertible notes
2019-05-28,Uxin Announces Private Placement of Convertible Notes for US$230 Million
2019-05-20,What Type Of Shareholder Owns Uxin Limited's (NASDAQ:UXIN)?
2019-05-09,3 International Companies for Your Watchlist
2019-05-07,Uxin Named in BrandZs 2019 Top 100 Most Valuable Chinese Brands
2019-05-06,Robbins Arroyo LLP: Uxin Limited (UXIN) Misled Shareholders According to Lawsuit
2019-05-02,Heres What Hedge Funds Think About Uxin Limited (UXIN)
2019-05-01,3 Top Chinese Stocks to Watch in May
2019-04-29,Uxin Files Its Annual Report on Form 20-F
2019-04-22,Uxin Responds to Recent Allegations
2019-04-19,2 Top Stocks Under $5
2019-04-18,Uxin Hit by Short-Seller: What Investors Should Know
2019-04-18,Here's Why Shares of Uxin Climbed Higher on Thursday
2019-04-17,Here's Why Shares of Uxin Jumped Higher on Wednesday Morning
2019-04-16,Uxin Issues Statement on Unusual Trading Activities
2019-04-16,Here's Why Shares of Uxin Crashed on Tuesday
2019-04-12,"FINAL DEADLINE: Bronstein, Gewirtz & Grossman, LLC - UXIN, SGYP & MHLD"
2019-04-12,"FILING DEADLINE -- Kuznicki Law PLLC Announces Class Actions on Behalf of Shareholders of UXIN, STMP and SYNH"
2019-04-12,"FINAL DEADLINE: Bronstein, Gewirtz & Grossman, LLC - UXIN, SGYP & MHLD"
2019-04-11,"CLASS ACTION UPDATE for UXIN, DPLO and CRCM: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders"
2019-04-11,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Uxin Ltd. - UXIN
2019-04-11,"CLASS ACTION UPDATE for UXIN, AMRN, UMC and BA: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders"
2019-04-11,"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against Maiden Holdings, Uxin, Molson Coors, and Amyris and Encourages Investors to Contact the Firm"
2019-04-10,SHAREHOLDER ALERT: UXIN MHLD DPLO: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines
2019-04-09,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Uxin Ltd. - UXIN
2019-04-09,SHAREHOLDER ALERT: UXIN DPLO CNDT CRCM: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines
2019-04-09,Are Options Traders Betting on a Big Move in Uxin (UXIN) Stock?
2019-04-09,April 12th Deadline in Lawsuit for Investors in NASDAQ: UXIN shares against Uxin Limited announced by Shareholders Foundation
2019-04-08,Why Uxin Stock Fell 18% Last Month
2019-04-08,"The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of UXIN, MHLD, WTW and CTL"
2019-04-08,"Bronstein, Gewirtz & Grossman, LLC Class Action Update - WCAGY; WRCDF & UXIN"
2019-04-05,SHAREHOLDER ALERT: UXIN USX NTNX: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines
2019-04-05,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Uxin Ltd. - UXIN
2019-04-05,"CLASS ACTION UPDATE for SPB, ZIV, UXIN and CRCM: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders"
2019-04-05,"Bronstein, Gewirtz & Grossman, LLC Class Action Update - ZIV, WCAGY; WRCDF & UXIN"
2019-04-04,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Uxin Ltd. - UXIN
2019-04-03,"Lyft, Nio top a list of cash guzzlers that has been a bad portent for others"
2019-04-03,SHAREHOLDER ALERT: UXIN BRS KHC WTW: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines
2019-04-03,Top Chinese E-Commerce Stocks to Buy in 2019
2019-04-03,"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against Uxin, Avon, Bristow, and Molson Coors and Encourages Investors to Contact the Firm"
2019-04-02,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Uxin Ltd. - UXIN
2019-04-01,"FILING DEADLINE--Kuznicki Law PLLC Announces Class Actions on Behalf of Shareholders of UXIN, AVEO, AMR and UMC"
2019-03-29,INVESTOR ALERT: Kirby McInerney LLP Reminds Investors That a Class Action Lawsuit Has Been Filed Against Uxin Limited and Encourages Investors to Contact the Firm Before April 12
2019-03-29,"The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of LXRX, UXIN, AVEO and AMRN"
2019-03-29,"Bronstein, Gewirtz & Grossman, LLC Class Action Update - UXIN, SGYP & MHLD"
2019-03-29,"Bronstein, Gewirtz & Grossman, LLC Class Action Reminder - UXIN, SGYP & MHLD"
2019-03-28,SHAREHOLDER ALERT: VALE TYME UXIN UMC: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines
2019-03-28,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Uxin Ltd. - UXIN
2019-03-28,"CLASS ACTION UPDATE for LXRX, UXIN and CRBP: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders"
2019-03-28,"Bronstein, Gewirtz & Grossman, LLC Class Action Update - UXIN, SGYP & MHLD"
2019-03-27,Four Tech Stocks Sparking Activity on Wednesday
2019-03-27,These Four Tech Stocks Could Spark Activity on Wednesday
2019-03-27,"CLASS ACTION UPDATE for UXIN, AVEO, AMRN and AMR: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders"
2019-03-26,"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against Uxin, Avon, Bristow, and Molson Coors and Encourages Investors to Contact the Firm"
2019-03-21,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Uxin Ltd. - UXIN
2019-03-21,"The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of UXIN, GE, BRS and KHC"
2019-03-20,"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against Uxin, Avon, Bristow, and Molson Coors and Encourages Investors to Contact the Firm"
2019-03-20,"Bronstein, Gewirtz & Grossman, LLC - Wirecard AG (WCAGY; WRCDF), Uxin Limited (UXIN) & Maiden Holdings, Ltd. (MHLD)"
